,Podcast name,Episode name,Dominant topic,Episode duration (in mins),Description of the episode,url of the podcast episodes
36,Science Quantum Physics Through Ayurveda Flow & Expansion.,Nothing Changes Until You Actively Allow It To Be So - Becoming A Different You ,12,32,"What does it mean when the inner self shares the knowledge that says ‘ I am not who I once was’. because this is an amazing gift to the ever expanding being of light within soundless to sound frequency vibration on a physical level in form that is ready to constantly change, creating a new you. This can be a constant natural flow along a journey. So why is this not showing up in your social media? because it is not about being liked, or how many followers you have or have not, it is on a different energetic stream within subtle frequencies through infinite worm holes or vortexes beyond that currency, however all is always an energetic flow of infinite currencies within consciousness itself. What you ‘think’ you know right now, has already transcended into something else, therefore to allow yourself to self realise that to ‘know nothing’ is to be open to remembering, learning, experiencing, expressing differently moment to moment, because you have ceased to be so heavily invested in ensuring that you know something, feeling the need to prove it over and over again. Instead you experience through a state of complete presence, a flow that provides physical sense of peace, allowing constant at easement to simply BE. .",https://anchor.fm/simplyblooming/episodes/One-Breath-Triggers-An-Eternal-Infinite-Signal-In-Any-Given-Nano-Second-e1fvkbs
37,Science Quantum Physics Through Ayurveda Flow & Expansion.,Frequencies - Attuned - Changing - Thriving,12,43,"What series of frequencies are you? Tuning, tapping into different frequencies can transform yourself, create a different life experience and self expressiveness that you will only experience by surrendering, allowing the not knowing into your existence and breathing light within effortlessly. In every nano second and even less than that as we ourselves come from the timelessness of existence each being has the opportunity to become a frequency of light soundless to sound vibration that creates effortlessly, but most importantly knows creation through saucha and becomes the living embodied entity within infinite formlessness to forms. In 20/20 we are shifting again into a very different sense of streaming through a sound wave of a natural flow not fully in resonance in this time continuum. Only if you feel in resonance will the subsequent podcasts and patreon shares become relevant. Happy expansion to all! .",https://anchor.fm/simplyblooming/episodes/One-Breath-Triggers-An-Eternal-Infinite-Signal-In-Any-Given-Nano-Second-e1fvkbs
38,Science Quantum Physics Through Ayurveda Flow & Expansion.,Quantum Physics In Design Sound Frequency Vibration,12,21,"It is well documented  and very much the flavour of an every expanding awareness that we are in an era that is more and more desiring to open through a scientific flow within quantum physics - spirit - and for all that we are in resonance of and within the very energetic streaming of soundless to sound frequency vibration.  In the moment you ‘think’ you know something, that very something is already shifted and you immediately realise that you no nothing once again and this is exciting, liberating and is synergistically exhilaratingly providing for some a sense of complete freedom. A place where there is no fear, therefore you are openly, consciously desiring to continue along the journey of expansion that is always evolving in form. This podcast touches base on one of our projects we are constructing and is still in the design prototype phase of the biomimicry on one level of the Desert Sturt Pea Flower but also in an alternate frequency reality a dwelling that is already manifested and being embodied by other worldly resonances in a different reality of sound frequency vibration, it is quantum physics in motion. You may be having amazingly insightful experiences yourself only to self realise that you are constantly moving on from each idea, belief system and constantly recognising the state of no nothing so you can yet again become something and cycle again to being open and no nothing as you continue along the path of expansion. Others may be at that point where you are creating, manifesting or in the movement of manifesting what you are desiring to be the creation of, excited by its potential in your life, we love hearing about your journey, so feel free to share as the more happy, openly expanding harmonic soundless to sound frequency vibrations are share the more we rise up and keep knowing nothing so we keep being open to growing, blossoming and continued expansion. Awesome vibes to you all. xox  Love in light Budai Team .",https://anchor.fm/simplyblooming/episodes/One-Breath-Triggers-An-Eternal-Infinite-Signal-In-Any-Given-Nano-Second-e1fvkbs
39,Straight-Up Sports ,Week 4 8-Man Review ,13,18,Week 4 is in the books. Catch up on the action here.  .,https://anchor.fm/devin-lynn-albertson/episodes/Missouri-8-Man-Football-Week-5-RecapWeek-6-Preview-e1849v5
40,Straight-Up Sports ,Missouri 8-Man Football Week 9 Review,13,15,Playoffs?! .,https://anchor.fm/devin-lynn-albertson/episodes/Missouri-8-Man-Football-Week-5-RecapWeek-6-Preview-e1849v5
41,Straight-Up Sports ,Missouri 8-Man Recap,13,19,Enjoy and share! .,https://anchor.fm/devin-lynn-albertson/episodes/Missouri-8-Man-Football-Week-5-RecapWeek-6-Preview-e1849v5
42,The Married to Medicine After Show Podcast,"""Bus-Ted Cabo"" Season 7 Episode 11 'Married to Medicine' Review",14,44,,https://anchor.fm/marriedtomedicine/episodes/Married-to-Medicine-LA-S2-E9-Recap--After-Show-The-Married-To-Married-LA--Designer-Labels--Drag-Queens-and-Best-Dancer-egdhel
43,Laguna Biotch: A Recap & Pop Culture Podcast ,More Than Friends,14,23,"This is the episode where you realize how truly awful Jessica and Jason are together, and now sneaky Alex M can be.",https://anchor.fm/lagunabiotch/episodes/117--Life-Update-e1g1jlk
44,eating alone in my car,blanket of bread,14,35,repost of 1/28 episode (first one messed up) .,https://anchor.fm/eating-alone-in-my-car/episodes/peanut-butter-cups-fake-e1g0tj3
45,Everyday Driver Car Debate,"443: Proxy Hatch, More Than Fine, Car Fancy",15,56,"The guys bring you more car conclusions, of enthusiasts who discovered driving in a new way, or bought a car they love. They discuss inexpensive, long-commute luxury cars for Damian D., and social media questions that cover Tesla’s direct to consumer business model, sports cars in handicap parking spaces, and what are great/not great things about being a car enthusiast? Season 5 is available on Amazon Prime and Vimeo worldwide. Thanks for listening and share the podcast with your fellow car enthusiast friends! .",https://anchor.fm/everydaydriver/episodes/688-The-Definitive-Answer--All-The-Dollars--Car-Number-9-e1gdf17
46,Everyday Driver Car Debate,"441: How To Be Worse, End Of Nostalgia, Forbidden Fruit",15,59,"Does a good car make you better? Does a bad car make you worse? The guys explore this for Topic Tuesday, and discuss modern options for Joel R.’s dad in Minnesota, who has a 1966 Corvair. They also take social media questions that include the meaning of chassis tuning, engine development consolidation by Geely and Volvo, and what would they change for Pilgrimage 2020? Season 5 is available on Amazon Prime and Vimeo worldwide. Thanks for listening and share the podcast with your fellow car enthusiast friends! .",https://anchor.fm/everydaydriver/episodes/688-The-Definitive-Answer--All-The-Dollars--Car-Number-9-e1gdf17
47,Everyday Driver Car Debate,"437: I’d Rather Commute, Miata Or Chair, Lotus Earplugs",15,61,"How bad is it when your car constantly reminds you of all the fun you’re not having? The Topic Tuesday covers the question of your love for a car weight against your ability to drive it as intended. Sean in LA needs saving from a monster commute, and the guys decide on drive homework for him. Social media questions include whether to buy a ‘heart’ car or ‘smart’ car, driving hard vs. wear and tear, and will OEMs still build cars for driving enthusiasts? Season 5 is now airing on the Motor Trend network through September 2019, Season 4 is available on Amazon Prime and Vimeo worldwide. Thanks for listening and share the podcast with your fellow car enthusiast friends! .",https://anchor.fm/everydaydriver/episodes/688-The-Definitive-Answer--All-The-Dollars--Car-Number-9-e1gdf17
48,Evolve Church,The Kingdom With Healing,16,39,,https://anchor.fm/kenneth00/episodes/Im-Saved-Whats-Next-Pt--2-e1ghsvq
49,Evolve Church,Blessin' Beggin',16,38,,https://anchor.fm/kenneth00/episodes/Im-Saved-Whats-Next-Pt--2-e1ghsvq
50,Faith Talks with Emily Preston,041 - You Are The Boss Of The Devil: The Believer's Authority Part 3,16,37,"Part 3 ""A believer who is fully conscious of the divine power that is backing him up, and therefore of his own authority will face anything that is from the enemy without fear or hesitation."" John A. MacMillan - The Authority of the Believer So far we've learned WHY God's given us authority and WHEN we were given authority, now in this episode we begin discussing HOW we exercise our authority. What are the tools God has given us to maintain our position of authority over the enemy and anything that is trying to steal, kill, or destroy from us? Once we learn about who we are, what we have, and how to use what we have, we can begin walking in the dominion and authority God intends for us to walk in! .",https://anchor.fm/faith-talks/episodes/076---Back-To-Basics-Part-4-e1ebqlj
51,Just the Zoo of Us,31: Sudan Plated Lizard & Orca (LIVE),17,40,"Join the Weatherfords for a weekly animal review! In this week's special live episode at Cultivate in Jacksonville Florida, Ellen meets a Sudan plated lizard face-to-face and Christian tells us why we would not want to meet an orca face-to-face. .",https://maximumfun.org/podcasts/just-the-zoo-of-us/
52,Just the Zoo of Us,23: Roly Poly & Keel-billed Toucan,17,53,"Join the Weatherfords for a weekly animal review! In this episode, Ellen conglobates with the roly poly and Christian revels in the fabulous keel-billed toucan.  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.",https://maximumfun.org/podcasts/just-the-zoo-of-us/
53,Just the Zoo of Us,33: Luna Moth & Koala,17,60,"Join the Weatherfords for a weekly animal review! In this week's episode, Ellen reviews the spectacular real-life fairy, the luna moth, and Christian rates the grey bag bear, the koala.  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.",https://maximumfun.org/podcasts/just-the-zoo-of-us/
54,Conspiracy Theories, FEMA Death Camps Pt. 2,18,52,"Is the agency known for helping the United States rebuild after natural disasters, actually responsible for the deaths of millions of people? The fear of FEMA “death” camps have deep implications for the future of the United States and the agency.",
55,Conspiracy Theories,FEMA Death Camps,18,45,"FEMA, The Federal Emergency Management Agency, helps millions of people recover after a natural disaster. However, some say FEMA might not be the solution to disasters, but the cause of them.",
56,Conspiracy Theories,Reverse Engineering ,18,43,Nations routinely advance themselves by creating schematics from stolen or recovered technology.,
57,"Quietmind Yoga: Full Length Yoga Classes with Jeremy Devens - Hatha, Vinyasa, Yin and Gentle","91: Vinyasa For Balance, Shoulders And Neck ",19,62,Recommended props for today's practice: 2 Blocks 1 Blanket  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.,https://anchor.fm/quietmindyoga/episodes/188-Yoga-to-Relieve-Upper-Back-Tension-e1ebr6v
58,"Quietmind Yoga: Full Length Yoga Classes with Jeremy Devens - Hatha, Vinyasa, Yin and Gentle","Vinyasa for Hips, Shoulders and Neck - 1 Block",19,60,,https://anchor.fm/quietmindyoga/episodes/188-Yoga-to-Relieve-Upper-Back-Tension-e1ebr6v
59,"Quietmind Yoga: Full Length Yoga Classes with Jeremy Devens - Hatha, Vinyasa, Yin and Gentle",Vinyasa for Shoulders and Low Back,19,56,,https://anchor.fm/quietmindyoga/episodes/188-Yoga-to-Relieve-Upper-Back-Tension-e1ebr6v
60,The Fantasy Football Show - with Smitty,Who are the top Wide Receiver Sleepers in fantasy football 2019?,20,23,---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.,https://anchor.fm/thefantasyfootballshow/episodes/How-to-draft-2-of-Cooper-Kupp--Justin-Jefferson-and-JaMarr-Chase-e1gf9kp
61,Fantasy NBA Show - Fantasy Basketball,"NBA Is Back! Siakam and VanVleet Explode, Fun Guy Dominates and News Ahead of Tomorrow's Games",20,22,"NBA is Back! I breakdown the 2 opening night games including Siakam and VanVleet going mental, Pelicans huge 12 man rotation, Kawhi winning the battle of Los Angeles and some news ahead of tomorrow's 11 game slate. You can follow us on Twitter and Instagram for more fantasy NBA information and stats .",https://anchor.fm/fantasynbashow/episodes/WK14--Waiver-Players-Trending-Up--Monte--Porter-Jr--Svi--Culver-and-More-eaa117
62,The Fantasy Football Show - with Smitty,Ep. 82: What’s the BEST draft strategy in 2019 fantasy football?,20,8,Smitty talks about the BEST draft strategies in 2019 fantasy football. Going zero RB? Going WR heavy? Find out.,https://anchor.fm/thefantasyfootballshow/episodes/How-to-draft-2-of-Cooper-Kupp--Justin-Jefferson-and-JaMarr-Chase-e1gf9kp
63,More Than English Podcast,Ep. 46 - What is a teacher?,21,20,"Are you a teacher?  Yes, you are. Whether it is your job or not. We all have people who look to us to learn something. So do you. We've all had teachers that have impacted our lives greatly in one way or another, and we've all had teachers that we've forgotten. Probably more of the second one.  What is a teacher? To quote Bruce Lee, ""A teacher is never a giver of truth. He is a guide, a pointer to the truth that each student must find for himself."" This is the philosophy I teach by. This is the philosophy I try to run my classes with.  What does this mean and how can I apply it to my life? This is what Jesse talks about in this episode of the More Than English Podcast. .",https://anchor.fm/morethanenglishpodcast/episodes/English-Expressions-Books-3-Ways-to-Get-Maximum-Value-From-Them-e1gc676
64,Dee’s English Lessons ,Episode 070,21,12,Introducing idioms. Category 1: Animal Idioms. It's raining cats and dogs. Guest on the show: Teacher Pepsy.,https://anchor.fm/dee64/episodes/Episode-182-e1fgm8v
65,Wonder In English,Interview: Science behind learning English as a second language,21,37,"In this episode, I speak with Alba about what it's like to be a foreigner living in the USA and learning English as a second language. We talk about teaching your kids your native language, language loss over time, and counterintuitive facts about language learning that I bet you didn't know. You will learn advanced vocabulary like ""trajectory"", ""instill something in someone"" and ""articulate"".",https://anchor.fm/wonderinenglish/episodes/British-vs-American-English-e4r84r
66,Nintendo Cartridge Society,5 Best Donkey Kong Games,22,60,"In celebration of Donkey Kong Country's 25th anniversary, Patrick and Mark definitively determine the 5 best Donkey Kong games of all time.",https://anchor.fm/nintendo-cartridge-society/episodes/Kirby-Month-Kirby-and-the-Forgotten-Land-with-Matt-Acevedo-e1gh5tn
67,Nintendo Cartridge Society,What We Played in 2019,22,62,"As 2019 comes to an end, Patrick and Mark look back on all of the games they played this year.",https://anchor.fm/nintendo-cartridge-society/episodes/Kirby-Month-Kirby-and-the-Forgotten-Land-with-Matt-Acevedo-e1gh5tn
68,Nintendo Cartridge Society,Favorite 3rd Party Switch Games,22,46,"The Switch is over 2 years old and the deluge of games never stops! To celebrate the system's ever-expanding library, Patrick and Mark discuss their favorite Switch games not developed by Nintendo.",https://anchor.fm/nintendo-cartridge-society/episodes/Kirby-Month-Kirby-and-the-Forgotten-Land-with-Matt-Acevedo-e1gh5tn
69,Statistics for the Social Sciences,20_Simple Linear Regression (Part 1 of 2),23,70,Simple Linear Regression (Part 1 of 2)  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.,https://anchor.fm/statistics/episodes/1_Overview-e4pefg
70,Statistics for the Social Sciences,6_Confidence Intervals (Part 1 of 2),23,77,Confidence Intervals (Part 1 of 2)  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.,https://anchor.fm/statistics/episodes/1_Overview-e4pefg
71,Statistics for the Social Sciences,5_Distributions and Relationships,23,74,Distributions and Relationships  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.,https://anchor.fm/statistics/episodes/1_Overview-e4pefg
72,Today in True Crime ,"October 10, 2019: The Murder of Q.C. Chadwick",24,16,"On this day in 2012, multi-millionaire Peter Chadwick murders his wife before going on the run.",
73,Today in True Crime ,"November 30, 2019: Gary Ridgway Apprehended",24,12,"On this day in 2001, Gary Ridgway was arrested and thanks to DNA testing, was proven to be the ""Green River Killer."" .",
74,Morning Cup Of Murder,The House of Blood - Triple Homicide - October 17 2019,24,6,"Imagine walking in on a murder scene, so bloody and violent it would later be dubbed The House of Blood? That’s exactly what happened to a man named James Sweeney when he entered the apartment of a neighbor after a gruesome triple homicide took place on October 17th 2004.",https://audioboom.com/posts/8057450
75,Pup Sports Podcast,Episode 8: Tate Kelly Alumni Interview,25,58,"Nathan sits down with Tate Kelly, class of '09, to talk about growing up in the Kelly household and the upcoming Cross Country season. Tate tells some great stories about his Family, G-Prep, and Spike the Bulldog! Go Pups!! .",https://anchor.fm/nathan407/episodes/Episode-34-Mid-Season-Basketball-Checkpoint-ea8i7c
76,Pup Sports Podcast,Episode 14: Oti Gildon Alumni Interview,25,30,"Nathan sits down with Oti Gildon (via Skype) to talk about her hoops career at Gonzaga Prep and the University of Oregon. We discuss her state titles, final four appearance and life after college. Oti graduated in 2015 and was a back to back State Champion in basketball! Go Pups! .",https://anchor.fm/nathan407/episodes/Episode-34-Mid-Season-Basketball-Checkpoint-ea8i7c
77,The DAWG Sports Radio,The DAWG Sports Radio (Trailer),25,1,,https://anchor.fm/nate-dawg/episodes/Episode-20-podcast-with-Coach-River-Pappas-e13b1ma
78,American English Grammar Review,Present Perfect Simple & Continuous Review 1,26,4,Present Perfect is usually the last tense studied by ESL students. That is in part because there are many elements that must be learned before! Bill helps explain in this episode.,https://anchor.fm/english-grammar-review/episodes/Idioms--To-Chicken-Out--To-Climb-On-The-Bandwagon--English-with-Billgreen54-e16lfda
79,American English Again,"""Short Forms"" Explained with Billgreen54",26,10,Short forms are contractions in spoken English! Writing in short for is much different! Billgreen54 explains why! .,
80,American English Grammar Review,Past Simple Tense Grammar Review,26,3,,https://anchor.fm/english-grammar-review/episodes/Idioms--To-Chicken-Out--To-Climb-On-The-Bandwagon--English-with-Billgreen54-e16lfda
81,BettingPros NFL Podcast,NFL Week 5 Game Lines Reactions (Ep. 14),27,48,"Chris Gimino, the Director of Premium Content at RotoGrinders, joins us to break down every line for every Week 5. Do the Rams deserve to be underdogs in Seattle after their terrible performance against Tampa Bay in Week 4 (2:48)? Find out if we think the Redskins starting Case Keenum or Dwayne Haskins makes a difference in what you should bet (13:13). What is it that makes the over in the ARZ and CIN matchup so enticing (19:02)? CHI and OAK travel to London in a game that promises a lot of defense (28:44). And find out what our favorite bet of the week is when MIN travels to NYG (32:24). Sponsor: New Jersey Sports fans! Don’t watch a game without downloading the BetMGM Sports app. Sign up today and you can place a risk-free wager up to $500. If you lose, BetMGM will credit you up to five hundred dollars for future wagers. Download the app and use our promo code, “HARRIS” at sign-up to get your $500 risk-free bet. You can sign up and deposit anywhere, but you must be in the state of New Jersey to place a sports bet. .",https://anchor.fm/bettingpros-nfl-podcast/episodes/NCAA-Final-Four-Special-Ep--161-e1ghemp
82,BettingPros NFL Podcast,NFL Championship Round Lines Reactions (Ep. 44),27,39,"We begin by recapping the Divisional Round, including the impressive performances by the 49ers (2:17) and Titans (8:21), a wild comeback by the Chiefs (15:32), and another ugly victory by the Packers (20:50). We then shift our attention to next week where we try to determine whether Patrick Mahomes or Derrick Henry is more unstoppable (25:04), and whether or not the Packers can compete with the 49ers after looking so bad against them in the regular season (30:53). Sponsor: BetMGM New Jersey Sports fans! Don’t watch a game without downloading the BetMGM Sports app. Sign up today and you can place a risk-free wager up to $500. If you lose, BetMGM will credit you up to five hundred dollars for future wagers. Download the app and use our promo code, “HARRIS” at sign-up to get your $500 risk-free bet. You can sign up and deposit anywhere, but you must be in the state of New Jersey to place a sports bet. .",https://anchor.fm/bettingpros-nfl-podcast/episodes/NCAA-Final-Four-Special-Ep--161-e1ghemp
83,BettingPros NFL Podcast, Best NFL Divisional Round Bets + Favorite Props (Ep. 43),27,50,"Is it smart to bet against Deshaun Watson and Patrick Mahomes lighting up the scoreboard this week in Arrowhead (5:07)? Is there value to be had in parlaying two huge moneylines (10:57)? Will the Texans start out slow like they've done so often this season (13:49)? Find out what two teasers you just have to parlay this week (20:20). Later, find out which picks to avoid (29:31) and also which props are the best bets this week (34:00). Finally, Kevin Roth (@KevinRothWX) joins us to discuss the weather for all the Divisional Round games (40:09). Sponsor: BetMGM - New Jersey Sports fans! Don’t watch a game without downloading the BetMGM Sports app. Sign up this weekend, bet $1, and win $200 if a Touchdown is Scored in Any Game on Divisional Playoff Weekend! New users can sign up now and place a $1 moneyline bet on any NFL team to win their Divisional game this weekend. If a TD is scored at ANY point in ANY game, win $200 - regardless of outcome (paid in free bets)! Offer valid through kickoff of Seahawks v. Packers (6:40PM EST). Download the app and use our promo code, “HARRIS” at sign-up. You can sign up and deposit anywhere, but you must be in the state of New Jersey to place a sports bet.  .",https://anchor.fm/bettingpros-nfl-podcast/episodes/NCAA-Final-Four-Special-Ep--161-e1ghemp
84,NETWORK MARKETING MADE SIMPLE,Episode 121: The 6 Habits Of Successful Network Marketers,28,12,"This episode is so dedicated to teaching network marketers the six quality traits that all successful network marketers must have in order to achieve everything they deserve. Don’t forget, the Network Marketing Academy is open for another five days so take advantage of the opportunity while it’s there. .",https://anchor.fm/scottaaron/episodes/Episode-355-How-To-Position-Yourself--Your-Business--and-Your-Offer-with-Bobby-Chandiramani-e1gb19o
85,NETWORK MARKETING MADE SIMPLE,Episode 129: The Myths Of Network Marketing ,28,20,"This episode is dedicated to teaching network marketers about the myths of this industry and what they can do to grow an incredible business, while creating an incredible life. .",https://anchor.fm/scottaaron/episodes/Episode-355-How-To-Position-Yourself--Your-Business--and-Your-Offer-with-Bobby-Chandiramani-e1gb19o
86,Tech Money Talks The #1 Dropshipping Podcast With E-commerce Professional Dropshipper Brian McCumber,"🔴 From Dropshipping Cigars Getting $1,500 Orders From Beverly Hills to Helping a Laid Off Telecom Employee Launch a Booming International Cell Phone Business, The Story Behind Tech Money Talks",28,15,"❤ Love and Appreciation is in the air!  🔥 75th episode  Successful Career, Technology Business, Online Business, Loving Family  Have a whole lot to be thankful for  There comes a point in life, where you begin to wonder if you're leaving a positive mark on this world  The skills and knowledge I've built up over the years is valuable.  Before I forget, I want to mention one other thing  There are some people that are looking to test the waters in dropshipping  Some people that are not ready to pay for a Shopify Store and Facebook Ads to get sales  There are some people that are looking to get started and test the waters  Seeing the gap here, I created a mini-course just for this purpose.  I call it FREE Dropshipping, because you don't have to pay for ads to get sales  I call it FREE dropshipping, becuase you don't have to pay for a shopify store  Heck, you don't event need a computer!  You can dropship all from your phone, you can dropship all from your phone  I call it drop posting, which is a beginners form of dropshipping.  100% newbie friendly and you don't have to make any further investment. No Ads, No Inventory, No Stores.  It's a quick course and some of my students have had success and sales on their first day.  Nobody else is sharing this technique  And just like the Podcast, I do my best to share the opportunities with you.",https://anchor.fm/techmoneytalks/episodes/How-to-make-6-Figures-Facebook-Marketplace-Dropshipping-with-Udemys-Instructor-Andrey-Kozlov-e1fjk9c
87,Warrior Cats What is That?,24: BACK TO THE DRAMA AND BLASTS FROM THE PAST,29,45,"Editor’s Note: Hi folks! Due to some technical issues noticed too late, Tangletongue’s audio cuts off a bit oddly throughout this episode.",https://anchor.fm/wcwit/episodes/149-Random-Chest-Pain-and-BrennaFist-e1gf10i
88,Warrior Cats What is That?,"27: Angsty Midlife Crises and Stupid, Sexy Bad Guys",29,61,"Tangletongue drags her feet as Emberheart continues to break her heart as we wrap up Book 4: Rising Storm!! Your two hosts angst it up as Thunder clan copes with the fire’s aftermath and their leader devolving into an angry, pouty teen. Fireheart faces off against some old enemies, who are admittedly, pretty buff.",https://anchor.fm/wcwit/episodes/149-Random-Chest-Pain-and-BrennaFist-e1gf10i
89,Warrior Cats What is That?, 30: Afterschool Specials and an Unexpected Visitor,29,48,"Emberheart and Tangletongue dive deeper into the start of A Dangerous Path as the book is going in an unexpected direction? At least to Tangletongue, but maybe that’s just cuz she’s really tired. Meanwhile, a familiar face visits the clan, much to Tangletongue and Emberheart’s delight.",https://anchor.fm/wcwit/episodes/149-Random-Chest-Pain-and-BrennaFist-e1gf10i
